Gene,logFC,P.Value,adj.P.Val,AveExpr_cluster,AveExpr_rest,percentExpr_cluster,percentExpr_rest
NT5DC1,0.592275522832058,0.490183382963624,0.658931009743997,14.563887,13.971611,1,1
RBM19,0.469015774530764,0.490560769360696,0.65922574525032,12.097993,11.628978,1,1
PRSS37,0.465641039338978,0.490578671096611,0.65922574525032,10.680294,10.214653,1,1
ZNF175,-0.494569415567931,0.490586602933062,0.65922574525032,12.130262,12.624831,1,1
UQCC3,0.433609870519128,0.49063292670592,0.65922574525032,10.603405,10.169795,1,1
FASN,0.571114483763816,0.490683618845977,0.65922574525032,11.619158,11.048044,1,1
HMCES,-0.553374369165084,0.490704390858637,0.65922574525032,16.30352,16.856894,1,1
ADRA1A,0.467205046231264,0.490743786606799,0.65922574525032,11.727497,11.260292,1,1
CDK16,-0.62047526184443,0.490760231940822,0.65922574525032,16.256863,16.877338,1,1
SPRY3,0.497541848908773,0.490771516639351,0.65922574525032,9.318749,8.821207,1,1
POFUT1,0.575054874796889,0.490830889791013,0.659250441035378,15.538075,14.96302,1,1
TUBG2,0.556802668956793,0.490881618268554,0.659263522731415,15.464159,14.907357,1,1
USP28,0.551970873904258,0.491055143018592,0.659400855555305,16.200797,15.648826,1,1
LRRC66,-0.373550889381942,0.4910658696743,0.659400855555305,8.833385,9.206936,1,1
CETN1,-3.37588761794189,0.491350667994562,0.659724181970374,9.954631,13.330518,1,1
RNASEH2B,-0.422978906619429,0.491388690624539,0.659724181970374,11.029734,11.452713,1,1
ENTPD7,0.477126784611913,0.491465481459611,0.659772206309689,11.661712,11.184585,1,1
ABHD11,0.470227446347945,0.491521208016095,0.659791947064837,10.364588,9.89436,1,1
LZTS2,-0.552629437367466,0.49164082930496,0.659897446260618,13.872182,14.424811,1,1
PSMB2,-0.660982731014798,0.491829470479557,0.660095561014118,21.104332,21.765315,1,1
BTBD7,0.584602589215031,0.492015681303768,0.660290381150588,14.209297,13.624695,1,1
EIF2D,-0.426357967856987,0.492112012730796,0.660357045360735,9.960259,10.386617,1,1
CRYZL1,-0.717291653177789,0.492147469705243,0.660357045360735,16.12489,16.842182,1,1
LCA5L,-0.455427863789673,0.492273001114806,0.660470382877088,10.273933,10.729361,1,1
TP53I3,0.455130650281562,0.492354361869787,0.660524443766256,11.553148,11.098017,1,1
UBE2L3,-0.839955174045663,0.49259574817001,0.660793162098953,31.664293,32.504248,1,1
RPS17,5.18605025815748,0.492888122950584,0.661130228466116,167.031173,161.845123,1,1
KRTAP23-1,0.364292805522551,0.492956859907088,0.661150457907755,8.481509,8.117216,1,1
ICMT,-0.668488256601023,0.492985416667974,0.661150457907755,17.701406,18.369895,1,1
PCSK5,0.444237220983998,0.493183314877501,0.66136071673251,9.115165,8.670928,1,1
DROSHA,-0.470147912786983,0.493332354406927,0.661505426284369,11.769323,12.239471,1,1
CDC25C,0.427445347454467,0.493616996236021,0.661828195884761,8.621537,8.194092,1,1
ACER3,0.378859940717401,0.493683098356346,0.661828195884761,9.713321,9.334462,1,1
ZNF79,0.647253630180208,0.493714920435548,0.661828195884761,11.906209,11.258956,1,1
MGA,0.455935325156384,0.493737659936661,0.661828195884761,11.382228,10.926293,1,1
PLXNB1,-0.655909952491225,0.493853698869953,0.661928574385361,20.785918,21.441828,1,1
PGBD1,0.408897346877431,0.493954199579134,0.662008111493274,9.925251,9.516353,1,1
SV2A,0.463673658722749,0.494028803431129,0.662052930710404,8.946763,8.48309,1,1
HMX3,0.366371741908109,0.494170334046624,0.662116775552885,7.712772,7.3464,1,1
ENKUR,0.533732016881304,0.49419421842954,0.662116775552885,11.168613,10.634881,1,1
SPAG5,0.286235791780214,0.494199943453891,0.662116775552885,5.979668,5.693432,1,1
KCTD5,0.506777548256714,0.494454649694064,0.662402847382919,10.592972,10.086194,1,1
THEM5,-0.575358420051369,0.494590275716772,0.662529357427214,15.250178,15.825537,1,1
ECI1,-0.673323528247135,0.494681526494272,0.662547737696504,18.120314,18.793638,1,1
