Gene,logFC,P.Value,adj.P.Val,AveExpr_cluster,AveExpr_rest,percentExpr_cluster,percentExpr_rest
HTRA1,-147.903283525167,3.15189991068315e-21,5.06951581634278e-17,160.806267,308.70955,1,1
DDN,-29.6328758952594,2.59612202627062e-19,1.98930001543589e-15,24.00538,53.638256,1,1
AIF1,-34.8511144134389,3.71045762640367e-19,1.98930001543589e-15,34.119944,68.971058,1,1
NEDD9,-18.09234834199,5.38139351512597e-19,2.16385833243215e-15,21.228594,39.320942,1,1
ALDOB,-103.131731038142,2.53950356212752e-18,8.16907505865181e-15,32.868548,136.000279,1,1
ELOA3D,29.7098533689202,5.6873907598934e-18,1.52459988303542e-14,51.97482,22.264967,1,1
ITM2B,-281.270849682036,5.19094154205729e-17,1.09694857192553e-13,453.348716,734.619565,1,1
PCOLCE2,-29.7566320017991,5.45609834332519e-17,1.09694857192553e-13,27.193067,56.949699,1,1
MAL2,-32.5489200042268,9.8776996400255e-17,1.76525467789078e-13,37.216746,69.765666,1,1
CDKN1C,-125.202210944452,1.1752501321107e-16,1.85543111015361e-13,102.792997,227.995208,1,1
VEGFA,-161.272711131136,1.26894691691679e-16,1.85543111015361e-13,167.105233,328.377944,1,1
THSD7A,-17.8606050974363,2.32626585060255e-16,3.11797166175762e-13,24.015983,41.876588,1,1
RPL7A,48.6310806879921,4.20201296263859e-16,5.19885973008301e-13,225.498652,176.867571,1,1
TSPY1,11.8607558267242,4.72121688113411e-16,5.29833549711904e-13,18.925311,7.064555,1,1
RPS2,49.4912228701262,4.94124797667157e-16,5.29833549711904e-13,140.205701,90.714478,1,1
MME,-176.980016002407,6.43258503803016e-16,6.36012182988426e-13,176.12582,353.105836,1,1
MPP5,-26.9599372145074,6.72233717408807e-16,6.36012182988426e-13,29.454203,56.414141,1,1
ITGB2,10.1285183950506,8.75403644882846e-16,7.82221790238649e-13,21.84932,11.720801,1,1
KRTAP10-3,25.8942666091616,1.55273097734314e-15,1.31442763366248e-12,63.232616,37.338349,1,1
DCN,-97.7311322816351,1.9472425147699e-15,1.56597243037795e-12,91.06012,188.791253,1,1
DUX4,177.902173673952,2.73438112047036e-15,2.09427552103073e-12,373.759592,195.857418,1,1
ELOA3,31.1986246183837,2.9016899251717e-15,2.12139912529371e-12,57.850442,26.651817,1,1
SYNPO,-50.3802774117623,3.80855446655567e-15,2.66333869739485e-12,63.583873,113.96415,1,1
TSC22D3,-21.4437208440569,4.27588550264965e-15,2.86555593435904e-12,27.699079,49.142799,1,1
NDNF,-135.056994179799,6.66046306523267e-15,4.28507551764809e-12,108.494154,243.551148,1,1
PHAX,32.9704712194109,7.23300592880371e-15,4.47444874457226e-12,95.965682,62.995211,1,1
NEBL,-26.5427605431489,7.93948038589788e-15,4.64698575444723e-12,40.199889,66.74265,1,1
TSPAN2,-16.3495308352583,8.0897538625045e-15,4.64698575444723e-12,17.457186,33.806716,1,1
CLIC5,-123.438730207529,8.38815942335437e-15,4.65224676431833e-12,181.319904,304.758634,1,1
ARRDC4,-18.6456324482205,1.56031384878873e-14,8.36536264797266e-12,27.135249,45.780882,1,1
SEC14L1,-25.3982422988308,1.66593840366229e-14,8.64353331758204e-12,47.672769,73.071011,1,1
DHRS3,-25.9181779545623,2.81657659970972e-14,1.4156818134291e-11,36.189121,62.107299,1,1
MYLK,-21.5243372074281,3.23847215338843e-14,1.57841170045756e-11,34.904678,56.429015,1,1
GATM,-19.7353983671978,5.36443529903956e-14,2.5376934514633e-11,12.805797,32.541196,1,1
FAM90A1,27.3320838541523,6.28061340851052e-14,2.88621103035666e-11,48.389389,21.057305,1,1
NUCB1,-36.3088559777534,7.19610168874872e-14,3.16097741348118e-11,75.033175,111.342031,1,1
RIDA,-7.46581752320905,7.27158445031111e-14,3.16097741348118e-11,11.987149,19.452967,1,1
SLC7A8,-13.9020425805454,8.47632532226828e-14,3.58771622324639e-11,22.298481,36.200524,1,1
PTGDS,-63.4555256081179,8.84255919041738e-14,3.6467621030429e-11,112.487308,175.942834,1,1
RPS19,31.1735053599139,1.00596859787804e-13,4.04499973206761e-11,105.86595,74.692445,1,1
ZNF587,38.836717069579,1.15775984382574e-13,4.54180715319344e-11,97.998476,59.161759,1,1
RCAN1,-24.5038972695669,1.23516551621185e-13,4.73009575303604e-11,38.631547,63.135444,1,1
PLS3,-16.8073069964997,1.28742988667306e-13,4.81558658075571e-11,26.178124,42.985431,1,1
USP18,21.0828042685728,1.95872747519251e-13,7.16003925249917e-11,46.045464,24.96266,1,1
KLK7,-22.9209618527136,2.01565137050949e-13,7.2043859207277e-11,27.013401,49.934363,1,1
HPGD,-38.067782845504,2.48255041547367e-13,8.680291496191e-11,30.117294,68.185077,1,1
PMEPA1,-12.0332557070049,2.69727619979893e-13,9.23042348884383e-11,15.878692,27.911948,1,1
SPOCK2,-63.1221528658792,2.91719961322802e-13,9.74675212048266e-11,113.941273,177.063426,1,1
ISCU,-14.3355876453339,2.96935372981628e-13,9.74675212048266e-11,33.085795,47.421383,1,1
MT1G,-33.9708337950672,3.10231357730758e-13,9.97952231548303e-11,30.148769,64.119603,1,1
MT1E,-14.0874739463883,3.5792766902898e-13,1.12880561346316e-10,26.576256,40.66373,1,1
TNS3,-21.8160046845632,3.76114211661647e-13,1.15184872986936e-10,29.697482,51.513487,1,1
RIPOR1,-37.3773327173093,3.79557216383212e-13,1.15184872986936e-10,53.409743,90.787076,1,1
CCDC184,7.27896147790065,4.25251286586371e-13,1.26661883212133e-10,16.401818,9.122856,1,1
MYL12B,-36.157846578788,5.15499641591465e-13,1.50750840642857e-10,76.403087,112.560934,1,1
SOST,-29.3451432879439,6.18765034419607e-13,1.75556713645631e-10,21.534215,50.879359,1,1
EPAS1,-88.9604155563173,6.2215448133555e-13,1.75556713645631e-10,126.359356,215.319771,1,1
DSTN,-41.7937213252977,6.99855980389908e-13,1.94077303251574e-10,63.527431,105.321152,1,1
ZBTB16,-16.7626075792794,7.33268801943342e-13,1.99896532380622e-10,27.904711,44.667318,1,1
ZNF705A,9.93221022306926,8.16879800265197e-13,2.18978245124424e-10,26.840829,16.908619,1,1
LILRB2,9.65228491957054,8.40567858854291e-13,2.21634318718236e-10,22.937459,13.285174,1,1
LENG8,-26.9050347478187,9.80427755191466e-13,2.54341935717734e-10,67.109546,94.014581,1,1
FKBP5,-24.8483226419699,1.22058645461138e-12,3.11617659301102e-10,38.282749,63.131072,1,1
USP17L3,64.2713943993374,1.33733144015478e-12,3.36088107553898e-10,139.828099,75.556705,1,1
PTK6,8.48477914774573,1.50775999764686e-12,3.73089412340801e-10,20.796581,12.311802,1,1
DUX1,9.09335124610908,1.61318912581167e-12,3.93129301508408e-10,20.51787,11.424519,1,1
PRMT8,44.0820662149619,1.68897800284947e-12,4.05455555191506e-10,96.264329,52.182263,1,1
SLC2A3,40.0307210787034,1.77045797385263e-12,4.18765383109497e-10,77.668134,37.637413,1,1
AASS,-9.00166330872504,2.02931353603828e-12,4.73035926284632e-10,16.006258,25.007921,1,1
GOLIM4,-22.723121065082,2.06503008477791e-12,4.74484912622398e-10,42.654466,65.377587,1,1
C4orf46,47.5787711373999,2.47487469564345e-12,5.60646262038439e-10,114.641674,67.062903,1,1
PRY,6.51211590398356,2.57740034047522e-12,5.75762598280604e-10,13.549831,7.037715,1,1
IGKC,43.1558121542566,2.74873877250819e-12,6.05626224890709e-10,60.496308,17.340496,1,1
TMBIM6,-27.506672671691,2.81196745200763e-12,6.11184925649874e-10,57.257064,84.763737,1,1
FBXO21,-12.1046200247554,2.95401558160043e-12,6.33498488192817e-10,25.745083,37.849703,1,1
ZBTB4,-13.0245779699405,3.00206347618501e-12,6.35331433565259e-10,35.801894,48.826472,1,1
FOXD4L5,25.5864360511389,3.31590257891326e-12,6.92636065964166e-10,57.606534,32.020098,1,1
GGTLC1,8.05889186366295,3.47369854961403e-12,7.1629445476913e-10,21.142024,13.083132,1,1
ST3GAL6,-13.9552686723624,3.8543021637895e-12,7.84716405093547e-10,21.540729,35.495997,1,1
TIPIN,6.49487306691523,5.10124585728769e-12,1.01615911412851e-09,19.027915,12.533042,1,1
PLA2R1,-72.1880816835347,5.11743896073172e-12,1.01615911412851e-09,121.117771,193.305853,1,1
OR4F21,11.2499447324747,5.193704377922e-12,1.01872611237192e-09,28.920323,17.670378,1,1
PTPRB,-29.1440725694659,5.2959169781099e-12,1.0189598141615e-09,37.175043,66.319115,1,1
RETREG1,-13.1105696255338,5.32160062108718e-12,1.0189598141615e-09,25.727008,38.837578,1,1
ANKRD20A1,10.7847331476762,5.7519483559427e-12,1.08840396890567e-09,27.768673,16.983939,1,1
EMP3,17.4597790198237,5.82258977533018e-12,1.08895969705129e-09,46.548024,29.088245,1,1
USP46,-14.6555253403183,6.44688986348796e-12,1.19185950073954e-09,26.69394,41.349465,1,1
CGNL1,-12.1900729208454,7.24461899694013e-12,1.32411877212256e-09,24.369543,36.559616,1,1
FGF1,-90.8794255098396,7.4614824027904e-12,1.34843239288181e-09,147.489722,238.369148,1,1
TUSC3,-12.888434318667,7.7108344790193e-12,1.3780117973394e-09,25.893049,38.781483,1,1
ITGB1,-39.6176785934195,8.03926865426509e-12,1.42091864873846e-09,102.045389,141.663067,1,1
PTPN21,-7.65079103859644,8.79437787531451e-12,1.53748667115825e-09,15.726222,23.377013,1,1
LILRB3,11.3196702577163,9.51138607814924e-12,1.64495842667691e-09,28.747301,17.427631,1,1
TIMP2,-23.3949932735548,9.74962520447004e-12,1.65899353813087e-09,62.877886,86.272879,1,1
BMERB1,14.1905153743804,9.79883027371501e-12,1.65899353813087e-09,39.61649,25.425975,1,1
CYB5A,-23.1966286249147,1.01207542104649e-11,1.69564802834497e-09,38.01973,61.216358,1,1
XRCC2,17.9223729091633,1.02355736045237e-11,1.69720583355835e-09,44.588071,26.665698,1,1
ATOH8,-7.74235019135097,1.15578757462674e-11,1.89690687247923e-09,12.677988,20.420338,1,1
SPTAN1,-22.9974212553594,1.21051897638494e-11,1.96666537537125e-09,53.744201,76.741622,1,1
PARD6G,-8.94243461134458,1.26250372266217e-11,2.03061098752984e-09,17.972168,26.914602,1,1
ITGAV,-33.6239706675212,1.41084403655563e-11,2.24673420633275e-09,77.353605,110.977576,1,1
RBMY1J,7.09553801170503,1.45063261651153e-11,2.28744852980113e-09,15.391009,8.295471,1,1
SEMA5A,-25.1779409810406,1.47651249918797e-11,2.30565311038246e-09,43.916675,69.094616,1,1
NICN1,13.1248046911468,1.68220600389163e-11,2.60159628524932e-09,43.531534,30.40673,1,1
IGHA1,13.707064664295,1.91071778868831e-11,2.92685570602503e-09,24.307422,10.600357,1,1
DCBLD2,-9.75944756085395,2.32987764931955e-11,3.53525963317506e-09,17.698149,27.457597,1,1
SEMA3G,-12.3571949018889,2.38633475262836e-11,3.58708487488547e-09,31.786699,44.143893,1,1
BEX4,-12.9068156121269,2.42018072314377e-11,3.60427655102263e-09,26.95921,39.866025,1,1
SSTR4,7.7915693004582,2.57616689098011e-11,3.8013824105068e-09,22.571596,14.780027,1,1
FOXC1,-14.4436352001812,2.61501930062217e-11,3.82363367556428e-09,30.321154,44.764789,1,1
PRDX3,-8.64859916130014,2.82484579051924e-11,4.08816221787306e-09,17.914998,26.563597,1,1
SEPTIN11,-17.7317859343808,2.84676802040402e-11,4.08816221787306e-09,32.225511,49.957297,1,1
HCK,8.44254745833285,3.00917059623309e-11,4.28314158139938e-09,22.962342,14.519794,1,1
E2F6,8.91781090898774,3.15783973218644e-11,4.45532405723568e-09,27.165736,18.247925,1,1
ZNF417,13.8628882716744,3.29662331119188e-11,4.61068602932262e-09,44.193498,30.330609,1,1
STARD7,-14.0032588238324,3.65660299005616e-11,5.07006918035028e-09,30.125377,44.128636,1,1
BPY2,5.08973685577834,3.73947045764126e-11,5.14065323424804e-09,12.893912,7.804175,1,1
MYL9,-78.0267308663153,3.80838016208523e-11,5.19101580737109e-09,132.953052,210.979783,1,1
RPSA,27.2463124985302,4.58442114998938e-11,6.19628821650665e-09,120.009602,92.763289,1,1
ADD3,-9.53539123696855,5.40514228243877e-11,7.2446923725621e-09,24.564442,34.099833,1,1
AQP7,7.84171181216212,5.5647288895353e-11,7.39695036853601e-09,24.341855,16.500143,1,1
ZNF705B,5.39814205089259,5.72358113737994e-11,7.54574418144418e-09,16.817619,11.419477,1,1
DRD5,10.3296100285662,5.92480214589554e-11,7.74752176541332e-09,29.311255,18.981645,1,1
NCF1,11.0231809452671,6.23741727811545e-11,8.09053383074266e-09,29.470989,18.447809,1,1
HMGA1,7.78929939629539,6.58237321171031e-11,8.46967125897189e-09,23.503722,15.714422,1,1
S100A10,17.6830563790354,6.72410010383491e-11,8.5833671484191e-09,56.305905,38.622849,1,1
GLS,-15.6538406123675,6.92238212129375e-11,8.76689716841643e-09,37.001202,52.655042,1,1
POLR2L,-16.5094900120905,7.01788046478195e-11,8.81840542152756e-09,42.638744,59.148234,1,1
USP17L15,45.4250856481417,7.12877306552486e-11,8.88830899115518e-09,107.157697,61.732612,1,1
CD44,6.58488555732056,7.19206482175876e-11,8.89824389178215e-09,19.242786,12.6579,1,1
SERINC1,-28.1903718113039,7.35308169897411e-11,9.02801267529005e-09,70.446016,98.636387,1,1
GPRC5A,-9.03240345876455,8.33186295640443e-11,1.0152248772031e-08,17.241466,26.273869,1,1
KLK6,-16.8201569005697,9.42663382154523e-11,1.13998479989273e-08,22.04746,38.867617,1,1
USP17L7,7.98745348559314,9.54229186287975e-11,1.14535986807879e-08,19.31736,11.329907,1,1
NTNG1,-19.6774583580174,9.89422423826723e-11,1.17120028729707e-08,37.792634,57.470093,1,1
ATP5MC2,-98.9719693457754,9.90321058644628e-11,1.17120028729707e-08,146.658484,245.630453,1,1
OR5L1,19.3863353613135,1.04422244955869e-10,1.22593239990525e-08,45.472542,26.086207,1,1
SELENOP,-18.5269696574879,1.08765937536623e-10,1.26508342150929e-08,43.62451,62.151479,1,1
C11orf54,-6.86375684457768,1.09330139013797e-10,1.26508342150929e-08,9.82823,16.691986,1,1
ITGAL,4.76710229557314,1.1190759169669e-10,1.28565836060683e-08,13.410709,8.643607,1,1
ALDH4A1,-5.14324467970008,1.13443217547742e-10,1.2857775337538e-08,10.815217,15.958462,1,1
CCDC91,-7.87191210074342,1.13516792957622e-10,1.2857775337538e-08,15.148823,23.020735,1,1
LILRA5,7.73216909935636,1.18025144496283e-10,1.3274940028519e-08,19.547146,11.814977,1,1
MAZ,55.9203071608,1.22588339902932e-10,1.36924365208247e-08,157.031613,101.111306,1,1
PREX2,-9.54897011840155,1.43582334900208e-10,1.59267467209307e-08,18.061126,27.610096,1,1
APLN,-8.21633038462327,1.48087168638886e-10,1.6313931646492e-08,11.745598,19.961929,1,1
B4GAT1,-9.94410977081476,1.49121492006946e-10,1.63161229757804e-08,22.855239,32.799349,1,1
HNRNPA1,31.8784385264178,1.56897089053614e-10,1.70508971644482e-08,146.323389,114.444951,1,1
SMAD6,-10.8167465475387,1.73800160781451e-10,1.876108581214e-08,18.906793,29.72354,1,1
PPP2CB,-13.7709145568322,1.88783693364309e-10,2.0242646160477e-08,34.964268,48.735183,1,1
YWHAE,-29.7613994865363,2.23256899055305e-10,2.37805560556658e-08,76.696252,106.457651,1,1
TCF21,-30.1709576575099,2.29838001241051e-10,2.43204895523754e-08,44.251533,74.422491,1,1
GULP1,-7.77909927880782,2.40350824478794e-10,2.52666840582806e-08,19.677012,27.456111,1,1
KRTAP12-3,10.0252449437653,2.48796599482798e-10,2.59847045849437e-08,26.489021,16.463776,1,1
FOXD4L4,5.26333716907371,2.58142535099464e-10,2.67868679647727e-08,14.544921,9.281584,1,1
ATP5IF1,-10.9724938033463,2.6401532228956e-10,2.72206566904185e-08,33.964963,44.937457,1,1
AIF1L,-19.3224010735879,2.73920995045795e-10,2.80620718746279e-08,37.99391,57.316311,1,1
UTF1,17.2930296695593,2.79078348222978e-10,2.84094693216353e-08,57.62934,40.336311,1,1
DEFB108B,7.46292240296263,2.85902146480656e-10,2.89210699622319e-08,19.4167,11.953777,1,1
MBD3L2,7.92557668350475,2.89354479801608e-10,2.90873590820566e-08,25.116317,17.19074,1,1
KRTAP5-1,8.83818687655538,2.92590724879182e-10,2.9195296695701e-08,26.360793,17.522606,1,1
KRTAP5-8,7.06758414628185,2.9405857154337e-10,2.9195296695701e-08,22.091252,15.023668,1,1
SGK1,-31.0085439468703,3.07672886218943e-10,3.03595748585612e-08,41.324039,72.332583,1,1
AMOTL2,-10.2332756284511,3.16341633987023e-10,3.08645489899096e-08,19.359708,29.592984,1,1
KCNE1,5.73083609699515,3.16628362555029e-10,3.08645489899096e-08,17.959021,12.228185,1,1
UACA,-11.4877504992795,3.40844648336672e-10,3.30249718304038e-08,21.862863,33.350614,1,1
NDUFA1,-13.3884365544863,3.80330562173828e-10,3.66301602515201e-08,31.402845,44.791282,1,1
WIPF3,-13.6409208270551,4.47278812719255e-10,4.28216215700982e-08,28.480809,42.12173,1,1
SPDYE11,11.6484194184623,5.10457933473722e-10,4.85810970532032e-08,32.470162,20.821742,1,1
FERMT2,-14.537219949959,5.6111359630822e-10,5.30879475471848e-08,41.228866,55.766086,1,1
ITGB8,-32.7419786690634,5.91187982105212e-10,5.56062427145042e-08,65.37866,98.120638,1,1
ENG,-32.0295950062519,6.10510912174887e-10,5.7089869252447e-08,68.464082,100.493677,1,1
C18orf32,-8.8793845734039,6.62493354900704e-10,6.15927347989764e-08,25.618669,34.498054,1,1
ALS2CL,-63.4653354330153,6.80772254980247e-10,6.27833014443044e-08,109.389951,172.855286,1,1
CD46,-12.6904585184301,6.83106052770037e-10,6.27833014443044e-08,35.349088,48.039546,1,1
ACTN4,-65.3030660321015,7.15006067167698e-10,6.53418044563935e-08,133.667232,198.970298,1,1
SCOC,-8.0691020425092,7.4320521425547e-10,6.75350998083897e-08,19.707625,27.776727,1,1
IGSF6,6.43855703492013,7.82268942648473e-10,7.06854700761688e-08,19.604587,13.16603,1,1
GOLGA8J,6.61825597733474,8.21726005732862e-10,7.36142244746803e-08,21.691682,15.073426,1,1
ITGA3,-38.026134707711,8.23940766470557e-10,7.36142244746803e-08,97.464278,135.490413,1,1
GOLGA6A,16.7987274631621,8.28411752668313e-10,7.36142244746803e-08,46.258699,29.459971,1,1
STAT1,-15.2055969573719,8.38370863290825e-10,7.40898734349979e-08,30.388963,45.59456,1,1
ARHGEF3,-19.1648676315428,8.44170301984813e-10,7.41947275252663e-08,37.490092,56.654959,1,1
BAGE5,10.8670203883583,8.98143926837284e-10,7.85094941263635e-08,31.10274,20.23572,1,1
ELOVL5,19.1789803656321,9.13777983671812e-10,7.94443518344725e-08,66.080659,46.901679,1,1
SGCA,6.65181837582484,9.38531440338309e-10,8.11577402494697e-08,20.993334,14.341516,1,1
SPDYE3,12.0531988333142,9.4743626318674e-10,8.14896516422221e-08,34.695471,22.642273,1,1
ABCA1,4.31242996613356,1.01531740647874e-09,8.68636444989579e-08,13.718253,9.405823,1,1
CLIP4,-7.91900213310041,1.04240258922656e-09,8.87090118789414e-08,20.588991,28.507993,1,1
IGHG4,81.8023952296028,1.07483715066513e-09,9.05936134521385e-08,106.362336,24.559941,1,1
MYO1E,-17.3791944007853,1.07863498541769e-09,9.05936134521385e-08,32.801484,50.180678,1,1
TNS2,-27.2034917686237,1.08144577112724e-09,9.05936134521385e-08,69.562032,96.765524,1,1
NDUFB2,-10.7451114298461,1.09297575968606e-09,9.10850886983969e-08,24.011364,34.756476,1,1
GOLGA8N,6.07945357445859,1.10745226718381e-09,9.18157848731158e-08,21.747368,15.667914,1,1
ACAT1,-6.37333462738888,1.12842055718302e-09,9.2612158155042e-08,16.570132,22.943467,1,1
MGAT5,-15.0790603168599,1.12857392429671e-09,9.2612158155042e-08,34.909766,49.988826,1,1
ITGB5,-12.6126901860017,1.18550341972367e-09,9.67900355473881e-08,27.362942,39.975632,1,1
PGRMC1,-7.2322804228568,1.22563007080112e-09,9.9560778074572e-08,17.315654,24.547935,1,1
CA10,-6.83647409920052,1.24265312523616e-09,1.00436346061801e-07,12.139626,18.9761,1,1
NDRG2,-15.3859302605385,1.26442900591928e-09,1.01685380656028e-07,34.829591,50.215522,1,1
GSTA1,-9.44067090388501,1.29898904555189e-09,1.03944974172421e-07,12.879821,22.320492,1,1
NPR3,-14.1050323179102,1.32081255455471e-09,1.05168064987415e-07,25.672513,39.777545,1,1
TMEM9B,-7.00571889949568,1.37652507040114e-09,1.08533888040382e-07,20.043813,27.049532,1,1
SLC35G4,5.7160354131916,1.37658002737118e-09,1.08533888040382e-07,17.32181,11.605775,1,1
METRNL,7.02009989594312,1.42285250028623e-09,1.11634924949287e-07,24.150347,17.130247,1,1
NUTM2G,9.48296682272122,1.44003967042409e-09,1.12434942034471e-07,27.989199,18.506232,1,1
ID4,-6.61101583080719,1.49176103609052e-09,1.15910553161739e-07,13.845557,20.456572,1,1
CXCL12,7.74262789317539,1.53018869156877e-09,1.18324783246116e-07,25.098957,17.356329,1,1
FCF1,135.218949130775,1.54825543064666e-09,1.19148996873306e-07,373.865446,238.646497,1,1
ATP6AP1,-8.564834365425,1.69981938384353e-09,1.30189976046378e-07,22.545369,31.110204,1,1
MARCKS,7.32584488443481,1.72367841030237e-09,1.31391675598594e-07,25.62866,18.302815,1,1
FXYD2,-41.1261423477019,1.75861540894353e-09,1.33422501120037e-07,50.05506,91.181202,1,1
ADGRE2,6.53071624892099,1.77757502386853e-09,1.33491962401616e-07,18.273191,11.742474,1,1
IDO1,-7.27080212634536,1.78181491805424e-09,1.33491962401616e-07,10.415664,17.686467,1,1
SPDYE16,32.2383009455076,1.78442998733819e-09,1.33491962401616e-07,101.029983,68.791682,1,1
EPB41L5,-13.4964494092812,1.90594766078754e-09,1.41922510074569e-07,37.826021,51.32247,1,1
VAMP5,-15.4839691737342,2.00833846576531e-09,1.48857676881886e-07,41.885368,57.369337,1,1
HNRNPH1,-11.8859767335834,2.11220428662667e-09,1.55838044706896e-07,46.787027,58.673004,1,1
WT1,-20.0207249781098,2.12642232487163e-09,1.56170669740801e-07,34.04075,54.061475,1,1
IFIT1,-6.23234593876857,2.20009999162105e-09,1.60847310296514e-07,14.290842,20.523188,1,1
KRT18,15.2509914468033,2.21511934651706e-09,1.61212577237015e-07,56.926717,41.675726,1,1
ZIC3,5.83695281528119,2.30564457778646e-09,1.67044988239267e-07,21.601581,15.764629,1,1
ZNF776,7.56877052629148,2.48245100634537e-09,1.79048170341071e-07,24.620726,17.051956,1,1
SLK,-10.8459217763394,2.5510920616953e-09,1.831775210728e-07,24.216957,35.062879,1,1
KIF5B,-7.59218631549315,2.61022500512903e-09,1.86590484366646e-07,19.490291,27.082477,1,1
PTH1R,-24.6310520072348,2.73106112670596e-09,1.9436454496433e-07,46.387783,71.018835,1,1
SORT1,-18.7581510188604,2.79903070607905e-09,1.98324272584033e-07,39.249598,58.007749,1,1
TMEM88B,7.92125187566958,2.8272854633178e-09,1.99447628912296e-07,27.311371,19.39012,1,1
DAZ4,3.54296711431265,2.92616223288328e-09,2.05521368356745e-07,9.309028,5.766061,1,1
SH3BGRL2,-11.19184350933,3.03728855430807e-09,2.12398909163004e-07,25.167074,36.358918,1,1
ZNF816,9.59555269358477,3.12720095165682e-09,2.17739827300642e-07,26.182513,16.586961,1,1
GTF2A1L,-4.57905029515167,3.23763921236916e-09,2.24457711602352e-07,9.958377,14.537428,1,1
H1-0,-8.26790550398449,3.2971328465671e-09,2.27601221906374e-07,23.879779,32.147684,1,1
KIDINS220,-5.61569694858609,3.40255127834045e-09,2.33874507524905e-07,13.961359,19.577056,1,1
FZD4,-8.74393088373787,3.47394411398468e-09,2.37765604805658e-07,27.660174,36.404105,1,1
MT1X,-22.4448350423686,3.82681593302708e-09,2.60807235028845e-07,34.935131,57.379966,1,1
PPP1R26,4.09246169475766,4.04309935382177e-09,2.74384852349659e-07,12.591282,8.49882,1,1
ESPN,5.80352840724188,4.06925953493383e-09,2.74999875461663e-07,17.66362,11.860091,1,1
ZCCHC10,6.87718849595835,4.15828956570649e-09,2.79840708681269e-07,22.727113,15.849925,1,1
APLP2,-41.1130645471218,4.34594366544511e-09,2.91250657979246e-07,111.724609,152.837674,1,1
MAPK8IP3,5.47977350258724,4.46498840656078e-09,2.97987027100098e-07,23.034932,17.555158,1,1
DAB2,-8.87283116686569,4.48903767073799e-09,2.98354057422107e-07,20.308473,29.181304,1,1
C1QA,5.77058999124285,4.54961042573675e-09,3.01135531224485e-07,16.412986,10.642396,1,1
MYC,6.3608917252498,4.85307404169995e-09,3.19905093797959e-07,19.12716,12.766268,1,1
RNF11,-11.8967127168677,4.8910886069012e-09,3.21094976136322e-07,31.20016,43.096873,1,1
MYO5B,6.76751068999928,5.04306228489326e-09,3.29726072317981e-07,22.584684,15.817173,1,1
PEBP1,-14.1483807118252,5.11741353130343e-09,3.332327094635e-07,33.987337,48.135718,1,1
SLC29A4,5.23996189782801,5.24356571118577e-09,3.40070608462548e-07,17.840028,12.600066,1,1
SPAG11A,6.29087762489463,5.42173032829253e-09,3.50213295583361e-07,21.777592,15.486714,1,1
ARHGEF12,-18.0108065223281,5.55995542084505e-09,3.57705291955487e-07,43.491957,61.502764,1,1
DHRS1,31.8731101436532,5.69752721251683e-09,3.6509572783315e-07,122.988045,91.114935,1,1
ARMCX3,-10.4484785466655,5.95481838387732e-09,3.80068646374138e-07,25.973269,36.421747,1,1
RPL12,24.9103170727927,5.99807644207127e-09,3.81316448593969e-07,122.390082,97.479765,1,1
ZNF28,9.80872242447274,6.04314018784732e-09,3.82668766855654e-07,41.475018,31.666296,1,1
WASL,-10.3774400106584,6.10710107150554e-09,3.85202406408216e-07,30.123826,40.501266,1,1
TLR2,5.50602106167296,6.33238942863754e-09,3.97852154571118e-07,17.692507,12.186486,1,1
SLURP1,6.37455207627659,7.3629678695153e-09,4.60801459973868e-07,19.686222,13.31167,1,1
CD164,-11.27170023292,7.66514753095896e-09,4.77853615844744e-07,27.38569,38.65739,1,1
RBP5,-5.74579519979538,7.77177016266886e-09,4.82629927785197e-07,10.305688,16.051483,1,1
KRTAP9-1,6.51608127411481,8.11532336959104e-09,5.02026388755778e-07,19.993596,13.477514,1,1
SH3KBP1,-5.8451522150081,8.39971679682219e-09,5.16137132391467e-07,14.144019,19.989171,1,1
MICAL2,-3.90122864570625,8.40760561343971e-09,5.16137132391467e-07,10.369741,14.270969,1,1
CALD1,-19.2888738558578,8.54993276249455e-09,5.22878777764115e-07,41.931888,61.220762,1,1
TM9SF3,-11.1639636364506,8.63760854281253e-09,5.26239756828018e-07,33.905005,45.068969,1,1
TMEM245,-7.51386352732756,8.98669231363662e-09,5.45441355368043e-07,18.622592,26.136456,1,1
TPPP3,-25.1063616755721,9.10352029226499e-09,5.50454963837557e-07,46.425807,71.532169,1,1
STARD8,-5.14856277244948,9.17679591729856e-09,5.52807436456292e-07,10.547459,15.696022,1,1
CCSER2,-5.20569185742741,9.21659379093368e-09,5.53133188557378e-07,15.718028,20.92372,1,1
C7,29.50409216566,9.26068407526112e-09,5.5371316976394e-07,87.068581,57.564489,1,1
VIPR1,-6.95530174528538,9.69167205118346e-09,5.76813216602521e-07,13.4824,20.437702,1,1
CITED2,-27.8540350940148,9.71875041651848e-09,5.76813216602521e-07,45.00609,72.860125,1,1
TSPAN3,-8.82034338569917,9.9899150280484e-09,5.90727181290921e-07,24.7461,33.566443,1,1
AGAP9,10.7683556896956,1.05035170049586e-08,6.18822591603493e-07,36.32596,25.557604,1,1
LILRB4,4.85937078071363,1.08352390638633e-08,6.360364419824e-07,14.001788,9.142417,1,1
PCYOX1,-8.54330043324833,1.10883575099509e-08,6.48527789781999e-07,25.047187,33.590487,1,1
OR5H15,7.52091405647142,1.18287159319276e-08,6.89322706699722e-07,23.552249,16.031334,1,1
