,interaction,partner_A_genes,partner_B_genes,celltype_A,celltype_B,is_partner_A_DE,logFC_gene_A,adj_pval_gene_A,percent_expr_gene_A,is_partner_B_DE,logFC_gene_B,adj_pval_gene_B,percent_expr_gene_B
474,CD74_APP,CD74,APP,Neutrophil,Private,True,-52.10705083307611,0.014348996468868,1,False,NA,NA,0.19702970297029704
1483,HLA-E_KLRK1,HLA-E,KLRK1,Proximal_tubular_cells,CD8 T cell,True,-56.6277070258774,0.000458079848881171,1,False,NA,NA,0.14838709677419354
143,TGFB1_TGFBR3,TGFB1,TGFBR3,Mast cell,Distal_tubules_and_collecting_duct,False,NA,NA,0.2307692307692308,True,-18.1543589009868,0.0108459579092956,1
792,FcRn complex_ALB,"['B2M', 'FCGRT']",ALB,Neutrophil,Podocytes,False,NA,NA,"[0.8840579710144928, 0.15217391304347827]",True,-3.15170077783893,0.00163958384977319,1
920,NOTCH1_JAG1,NOTCH1,JAG1,Endothelium,Distal_tubules_and_collecting_duct,True,-3.63167325862043,0.003762413966590471,1,False,NA,NA,0.2882882882882883
1129,TNFRSF10B_TNFSF10,TNFRSF10B,TNFSF10,Proximal_tubular_cells,Podocytes,False,NA,NA,0.10559006211180123,True,-4.8368024444167315,0.00154622415495639,1
832,FcRn complex_ALB,"['B2M', 'FCGRT']",ALB,Proximal_tubular_cells,MNP,False,NA,NA,"[0.9606625258799172, 0.6252587991718427]",True,-3.15170077783893,0.00163958384977319,1
545,CD74_APP,CD74,APP,Private,Private,True,-52.10705083307611,0.014348996468868,1,False,NA,NA,0.19702970297029704
330,CD74_APP,CD74,APP,DC,Nephron_epithelium,True,-52.10705083307611,0.014348996468868,1,False,NA,NA,0.22023086269744835
1034,TNFRSF11B_TNFSF10,TNFRSF11B,TNFSF10,Distal_tubules_and_collecting_duct,Private,False,NA,NA,0.231981981981982,True,-4.8368024444167315,0.00154622415495639,1
1189,JAG1_NOTCH4,JAG1,NOTCH4,Mesangial_cells,Mesangial_cells,False,NA,NA,0.4915254237288136,True,-4.9064196914993605,0.0012356679553589,1
546,CD74_APP,CD74,APP,Proximal_tubular_cells,Proximal_tubular_cells,True,-52.10705083307611,0.014348996468868,1,False,NA,NA,0.43685300207039335
145,TGFB1_TGFBR3,TGFB1,TGFBR3,Mast cell,NK cell,False,NA,NA,0.2307692307692308,True,-18.1543589009868,0.0108459579092956,1
335,CD74_APP,CD74,APP,Distal_tubules_and_collecting_duct,B cell,True,-52.10705083307611,0.014348996468868,1,False,NA,NA,0.32432432432432434
313,CD74_APP,CD74,APP,CD8 T cell,Mast cell,True,-52.10705083307611,0.014348996468868,1,False,NA,NA,0.2307692307692308
597,NRP1_VEGFB,NRP1,VEGFB,Distal_tubules_and_collecting_duct,Distal_tubules_and_collecting_duct,True,-6.5367172113572805,0.00477973732505578,1,False,NA,NA,0.3040540540540541
615,FcRn complex_ALB,"['B2M', 'FCGRT']",ALB,CD8 T cell,B cell,False,NA,NA,"[1.0, 0.2967741935483871]",True,-3.15170077783893,0.00163958384977319,1
188,CD94:NKG2A_HLA-E,"['KLRC1', 'KLRD1']",HLA-E,CD8 T cell,DC,False,NA,NA,"[0.15483870967741936, 0.3290322580645161]",True,-56.6277070258774,0.000458079848881171,1
594,NRP1_VEGFB,NRP1,VEGFB,Proximal_tubular_cells,DC,True,-6.5367172113572805,0.00477973732505578,1,False,NA,NA,0.43478260869565216
673,FcRn complex_ALB,"['B2M', 'FCGRT']",ALB,Endothelium,Proximal_tubular_cells,False,NA,NA,"[0.99120082815735, 0.4818840579710145]",True,-3.15170077783893,0.00163958384977319,1
1045,TNFRSF11B_TNFSF10,TNFRSF11B,TNFSF10,Loop_of_Henle,NK cell,False,NA,NA,0.1054739652870494,True,-4.8368024444167315,0.00154622415495639,1
70,THBS1_a3b1 complex,THBS1,"['ITGA3', 'ITGB1']",Proximal_tubular_cells,Endothelium,False,NA,NA,0.2111801242236025,True,"[-38.026134707711, -39.6176785934195]","[7.36142244746803e-08, 1.42091864873846e-09]","[1, 1]"
331,CD74_APP,CD74,APP,DC,Podocytes,True,-52.10705083307611,0.014348996468868,1,False,NA,NA,0.5366795366795367
552,FLT1 complex_VEGFA,"['FLT1', 'KDR']",VEGFA,Endothelium,Proximal_tubular_cells,False,NA,NA,"[0.7355072463768116, 0.4316770186335404]",True,-161.272711131136,1.85543111015361e-13,1
879,HLA-B_KIR3DL2,HLA-B,KIR3DL2,Mast cell,NK cell,True,-111.47508871951,0.00899441551017485,1,False,NA,NA,0.10951760104302476
1522,LILRA4_BST2,LILRA4,BST2,MNP,Mesangial_cells,False,NA,NA,0.14175824175824175,True,-13.340345767669401,0.00012667437940071398,1
383,CD74_APP,CD74,APP,MNP,Mast cell,True,-52.10705083307611,0.014348996468868,1,False,NA,NA,0.2307692307692308
284,CD94:NKG2C_HLA-E,"['KLRD1', 'KLRC2']",HLA-E,NK cell,Private,False,NA,NA,"[0.96870925684485, 0.1029986962190352]",True,-56.6277070258774,0.000458079848881171,1
300,CD74_APP,CD74,APP,B cell,Mesangial_cells,True,-52.10705083307611,0.014348996468868,1,False,NA,NA,0.6186440677966102
1053,TNFRSF11B_TNFSF10,TNFRSF11B,TNFSF10,Podocytes,CD8 T cell,False,NA,NA,0.11969111969111967,True,-4.8368024444167315,0.00154622415495639,1
