,interaction,partner_A_genes,partner_B_genes,celltype_A,celltype_B,is_partner_A_DE,logFC_gene_A,adj_pval_gene_A,percent_expr_gene_A,is_partner_B_DE,logFC_gene_B,adj_pval_gene_B,percent_expr_gene_B
34,COL1A2_a1b1 complex,COL1A2,"['ITGA1', 'ITGB1']",Mesangial_cells,Distal_tubules_and_collecting_duct,True,11.7352958382638,0.000128758661947416,1,False,NA,NA,"[0.20495495495495492, 0.759009009009009]"
1323,SELL_SELPLG,SELL,SELPLG,NK cell,Private,False,NA,NA,0.16688396349413298,True,1.65236939315672,0.0310098101938767,1
996,SEMA4A_PLXND1,SEMA4A,PLXND1,MNP,Mesangial_cells,True,2.18048487240274,0.00667135760478158,1,False,NA,NA,0.1271186440677966
1314,SELL_SELPLG,SELL,SELPLG,MNP,DC,False,NA,NA,0.3989010989010989,True,1.65236939315672,0.0310098101938767,1
254,THY1_aXb2 complex,THY1,"['ITGB2', 'ITGAX']",Proximal_tubular_cells,Mast cell,False,NA,NA,0.2774327122153209,True,"[10.1285183950506, 5.41908546718856]","[7.82221790238649e-13, 9.085959486961573e-06]","[1, 1]"
1275,HLA-E_KLRK1,HLA-E,KLRK1,Neutrophil,CD8 T cell,False,NA,NA,0.2536231884057971,True,1.6996193448401398,0.0373947054533458,1
33,COL1A2_a1b1 complex,COL1A2,"['ITGA1', 'ITGB1']",Mesangial_cells,CD8 T cell,True,11.7352958382638,0.000128758661947416,1,False,NA,NA,"[0.4645161290322581, 0.41935483870967744]"
858,TNFSF14_LTBR,TNFSF14,LTBR,CD8 T cell,Podocytes,True,1.6880259119071002,0.0279420317848639,1,False,NA,NA,0.15444015444015444
294,ICAM1_ITGAL,ICAM1,ITGAL,Endothelium,MNP,False,NA,NA,0.15993788819875776,True,4.76710229557314,1.28565836060683e-08,1
1164,CD55_ADGRE5,CD55,ADGRE5,CD8 T cell,CD8 T cell,False,NA,NA,0.11612903225806452,True,4.21690878715005,0.00312233850766636,1
737,TNF_TNFRSF1B,TNF,TNFRSF1B,MNP,MNP,False,NA,NA,0.1043956043956044,True,6.01061393679651,1.97712117390567e-06,1
1475,LTBR_LTB,LTBR,LTB,Mesangial_cells,Private,False,NA,NA,0.1864406779661017,True,1.43943567105272,0.0402619482825343,1
94,COL18A1_a2b1 complex,COL18A1,"['ITGB1', 'ITGA2']",Podocytes,Distal_tubules_and_collecting_duct,True,2.6145127218695,0.0454013803960654,1,False,NA,NA,"[0.759009009009009, 0.34459459459459457]"
556,HLA-A_KIR3DL1,HLA-A,KIR3DL1,Podocytes,NK cell,False,NA,NA,0.8725868725868726,True,12.558750138482301,7.46798130740353e-05,1
1341,SELL_SELPLG,SELL,SELPLG,Private,NK cell,False,NA,NA,0.2099009900990099,True,1.65236939315672,0.0310098101938767,1
560,HLA-A_KIR3DL1,HLA-A,KIR3DL1,NK cell,NK cell,False,NA,NA,0.9947848761408083,True,12.558750138482301,7.46798130740353e-05,1
472,ICAM3_aLb2 complex,ICAM3,"['ITGB2', 'ITGAL']",NK cell,CD8 T cell,False,NA,NA,0.4941329856584094,True,"[10.1285183950506, 4.76710229557314]","[7.82221790238649e-13, 1.28565836060683e-08]","[1, 1]"
1254,HLA-E_KLRK1,HLA-E,KLRK1,Endothelium,NK cell,False,NA,NA,0.9228778467908902,True,1.6996193448401398,0.0373947054533458,1
584,HLA-F_LILRB2,HLA-F,LILRB2,MNP,DC,False,NA,NA,0.521978021978022,True,9.652284919570539,2.2163431871823598e-10,1
85,FN1_a2b1 complex,FN1,"['ITGB1', 'ITGA2']",Distal_tubules_and_collecting_duct,Distal_tubules_and_collecting_duct,True,5.7094563491760715,0.0181158810046262,1,False,NA,NA,"[0.759009009009009, 0.34459459459459457]"
1089,CD55_ADGRE5,CD55,ADGRE5,Mast cell,Private,False,NA,NA,0.3461538461538461,True,4.21690878715005,0.00312233850766636,1
437,ICAM3_aLb2 complex,ICAM3,"['ITGB2', 'ITGAL']",DC,B cell,False,NA,NA,0.3478260869565217,True,"[10.1285183950506, 4.76710229557314]","[7.82221790238649e-13, 1.28565836060683e-08]","[1, 1]"
239,THY1_aXb2 complex,THY1,"['ITGB2', 'ITGAX']",Loop_of_Henle,NK cell,False,NA,NA,0.16154873164218958,True,"[10.1285183950506, 5.41908546718856]","[7.82221790238649e-13, 9.085959486961573e-06]","[1, 1]"
1391,CD99_PILRA,CD99,PILRA,Private,MNP,True,7.31569349920593,6.5725053149725e-05,1,True,4.28198990333304,4.8230381652453106e-06,1
791,CCL5_CCR1,CCL5,CCR1,NK cell,MNP,True,2.9274540433678995,0.000339714595575179,1,True,2.89478592916485,3.55986110154396e-05,1
403,ICAM2_aLb2 complex,ICAM2,"['ITGB2', 'ITGAL']",Nephron_epithelium,NK cell,False,NA,NA,0.13396111786148238,True,"[10.1285183950506, 4.76710229557314]","[7.82221790238649e-13, 1.28565836060683e-08]","[1, 1]"
985,CXCL12_CXCR4,CXCL12,CXCR4,Podocytes,Neutrophil,True,7.7426278931753885,1.18324783246116e-07,1,False,NA,NA,0.2608695652173913
881,TNFSF14_TNFRSF14,TNFSF14,TNFRSF14,CD8 T cell,Mast cell,True,1.6880259119071002,0.0279420317848639,1,False,NA,NA,0.19230769230769232
938,CCR1_CCL14,CCR1,CCL14,MNP,Endothelium,True,2.89478592916485,3.55986110154396e-05,1,True,5.62647070919538,0.0266349867606034,1
686,TNF_TNFRSF1B,TNF,TNFRSF1B,B cell,DC,False,NA,NA,0.13513513513513514,True,6.01061393679651,1.97712117390567e-06,1
198,FN1_a8b1 complex,FN1,"['ITGB1', 'ITGA8']",Distal_tubules_and_collecting_duct,Endothelium,True,5.7094563491760715,0.0181158810046262,1,False,NA,NA,"[0.6749482401656315, 0.17339544513457558]"
1455,LTBR_LTB,LTBR,LTB,MNP,B cell,False,NA,NA,0.2153846153846154,True,1.43943567105272,0.0402619482825343,1
163,PLAUR_a4b1 complex,PLAUR,"['ITGB1', 'ITGA4']",Neutrophil,B cell,True,1.83700465330314,0.0297683934149902,1,False,NA,NA,"[0.32432432432432434, 0.2432432432432433]"
1242,HLA-E_KLRK1,HLA-E,KLRK1,B cell,CD8 T cell,False,NA,NA,1.0,True,1.6996193448401398,0.0373947054533458,1
723,TNF_TNFRSF1B,TNF,TNFRSF1B,Private,DC,False,NA,NA,0.18811881188118806,True,6.01061393679651,1.97712117390567e-06,1
764,NKG2D II receptor_MICA,"['HCST', 'KLRK1']",MICA,CD8 T cell,Mesangial_cells,True,"[2.20438656911878, 1.6996193448401398]","[0.00430246688582166, 0.0373947054533458]","[1, 1]",False,NA,NA,0.1016949152542373
1399,CD52_SIGLEC10,CD52,SIGLEC10,Loop_of_Henle,MNP,False,NA,NA,0.15287049399198932,True,2.5481361733241497,0.000781093057158028,1
1304,SELL_SELPLG,SELL,SELPLG,DC,Private,False,NA,NA,0.7826086956521741,True,1.65236939315672,0.0310098101938767,1
1147,CD55_ADGRE5,CD55,ADGRE5,Private,MNP,False,NA,NA,0.3227722772277228,True,4.21690878715005,0.00312233850766636,1
44,COL18A1_a1b1 complex,COL18A1,"['ITGA1', 'ITGB1']",B cell,Distal_tubules_and_collecting_duct,True,2.6145127218695,0.0454013803960654,1,False,NA,NA,"[0.20495495495495492, 0.759009009009009]"
325,ICAM1_aLb2 complex,ICAM1,"['ITGB2', 'ITGAL']",Endothelium,Private,False,NA,NA,0.15993788819875776,True,"[10.1285183950506, 4.76710229557314]","[7.82221790238649e-13, 1.28565836060683e-08]","[1, 1]"
500,ICAM3_aLb2 complex,ICAM3,"['ITGB2', 'ITGAL']",Private,NK cell,False,NA,NA,0.5039603960396041,True,"[10.1285183950506, 4.76710229557314]","[7.82221790238649e-13, 1.28565836060683e-08]","[1, 1]"
1188,PTPRC_CD22,PTPRC,CD22,Neutrophil,B cell,True,4.410688292133,4.76772725790391e-05,1,False,NA,NA,0.32432432432432434
318,ICAM1_aLb2 complex,ICAM1,"['ITGB2', 'ITGAL']",DC,Private,False,NA,NA,0.17391304347826084,True,"[10.1285183950506, 4.76710229557314]","[7.82221790238649e-13, 1.28565836060683e-08]","[1, 1]"
314,ICAM1_aLb2 complex,ICAM1,"['ITGB2', 'ITGAL']",DC,CD8 T cell,False,NA,NA,0.17391304347826084,True,"[10.1285183950506, 4.76710229557314]","[7.82221790238649e-13, 1.28565836060683e-08]","[1, 1]"
614,HLA-G_LILRB2,HLA-G,LILRB2,DC,MNP,False,NA,NA,0.17391304347826084,True,9.652284919570539,2.2163431871823598e-10,1
426,ICAM3_aLb2 complex,ICAM3,"['ITGB2', 'ITGAL']",B cell,MNP,False,NA,NA,0.3648648648648649,True,"[10.1285183950506, 4.76710229557314]","[7.82221790238649e-13, 1.28565836060683e-08]","[1, 1]"
964,CXCL12_CXCR4,CXCL12,CXCR4,Mesangial_cells,Mast cell,True,7.7426278931753885,1.18324783246116e-07,1,False,NA,NA,0.4230769230769231
1124,CD55_ADGRE5,CD55,ADGRE5,Neutrophil,Distal_tubules_and_collecting_duct,False,NA,NA,0.15942028985507245,True,4.21690878715005,0.00312233850766636,1
159,PLAUR_a4b1 complex,PLAUR,"['ITGB1', 'ITGA4']",Mast cell,NK cell,True,1.83700465330314,0.0297683934149902,1,False,NA,NA,"[0.4928292046936114, 0.3715775749674055]"
1219,HLA-E_KLRC2,HLA-E,KLRC2,MNP,CD8 T cell,False,NA,NA,0.9362637362637364,True,3.55694751490934,0.0007746719235593231,1
307,ICAM1_ITGAL,ICAM1,ITGAL,Mast cell,MNP,False,NA,NA,0.1153846153846154,True,4.76710229557314,1.28565836060683e-08,1
679,PLXNB2_SEMA4C,PLXNB2,SEMA4C,Mesangial_cells,Endothelium,False,NA,NA,0.1694915254237288,True,2.93285695767678,0.007871246116878429,1
977,CXCL12_CXCR4,CXCL12,CXCR4,Podocytes,Endothelium,True,7.7426278931753885,1.18324783246116e-07,1,False,NA,NA,0.16511387163561075
692,TNF_TNFRSF1B,TNF,TNFRSF1B,CD8 T cell,B cell,False,NA,NA,0.11612903225806452,True,6.01061393679651,1.97712117390567e-06,1
1248,HLA-E_KLRK1,HLA-E,KLRK1,DC,NK cell,False,NA,NA,0.9565217391304348,True,1.6996193448401398,0.0373947054533458,1
1521,LAIR1_LILRB4,LAIR1,LILRB4,MNP,MNP,True,3.7702558889103504,4.07767586446817e-05,1,True,4.85937078071363,6.360364419824e-07,1
96,COL18A1_a2b1 complex,COL18A1,"['ITGB1', 'ITGA2']",Distal_tubules_and_collecting_duct,Distal_tubules_and_collecting_duct,True,2.6145127218695,0.0454013803960654,1,False,NA,NA,"[0.759009009009009, 0.34459459459459457]"
690,TNF_TNFRSF1B,TNF,TNFRSF1B,B cell,Private,False,NA,NA,0.13513513513513514,True,6.01061393679651,1.97712117390567e-06,1
1355,SELL_SELPLG,SELL,SELPLG,Th cell,Th cell,False,NA,NA,0.3747126436781609,True,1.65236939315672,0.0310098101938767,1
788,CCL5_CCR1,CCL5,CCR1,Loop_of_Henle,MNP,True,2.9274540433678995,0.000339714595575179,1,True,2.89478592916485,3.55986110154396e-05,1
456,ICAM3_aLb2 complex,ICAM3,"['ITGB2', 'ITGAL']",Loop_of_Henle,Private,False,NA,NA,0.10747663551401868,True,"[10.1285183950506, 4.76710229557314]","[7.82221790238649e-13, 1.28565836060683e-08]","[1, 1]"
603,HLA-F_LILRB2,HLA-F,LILRB2,B cell,B cell,False,NA,NA,0.2972972972972973,True,9.652284919570539,2.2163431871823598e-10,1
980,CXCL12_CXCR4,CXCL12,CXCR4,Podocytes,Mast cell,True,7.7426278931753885,1.18324783246116e-07,1,False,NA,NA,0.4230769230769231
540,F11R_aLb2 complex,F11R,"['ITGB2', 'ITGAL']",Proximal_tubular_cells,NK cell,False,NA,NA,0.12629399585921325,True,"[10.1285183950506, 4.76710229557314]","[7.82221790238649e-13, 1.28565836060683e-08]","[1, 1]"
1132,CD55_ADGRE5,CD55,ADGRE5,Podocytes,B cell,False,NA,NA,0.3552123552123552,True,4.21690878715005,0.00312233850766636,1
1060,CD55_ADGRE5,CD55,ADGRE5,Endothelium,B cell,False,NA,NA,0.12318840579710146,True,4.21690878715005,0.00312233850766636,1
1443,LTBR_LTB,LTBR,LTB,Endothelium,B cell,False,NA,NA,0.11801242236024845,True,1.43943567105272,0.0402619482825343,1
564,HLA-F_KIR3DL1,HLA-F,KIR3DL1,Endothelium,NK cell,False,NA,NA,0.3618012422360248,True,12.558750138482301,7.46798130740353e-05,1
979,CXCL12_CXCR4,CXCL12,CXCR4,Podocytes,MNP,True,7.7426278931753885,1.18324783246116e-07,1,False,NA,NA,0.7307692307692307
875,TNFSF14_LTBR,TNFSF14,LTBR,Private,Proximal_tubular_cells,True,1.6880259119071002,0.0279420317848639,1,False,NA,NA,0.2380952380952381
1121,CD55_ADGRE5,CD55,ADGRE5,Neutrophil,B cell,False,NA,NA,0.15942028985507245,True,4.21690878715005,0.00312233850766636,1
930,TNFSF10_TNFRSF10D,TNFSF10,TNFRSF10D,Private,Endothelium,False,NA,NA,0.405940594059406,True,1.89074978806498,0.0173560788208196,1
1137,CD55_ADGRE5,CD55,ADGRE5,Podocytes,Mast cell,False,NA,NA,0.3552123552123552,True,4.21690878715005,0.00312233850766636,1
111,FN1_a4b1 complex,FN1,"['ITGB1', 'ITGA4']",Distal_tubules_and_collecting_duct,DC,True,5.7094563491760715,0.0181158810046262,1,False,NA,NA,"[0.3043478260869565, 0.2608695652173913]"
1091,CD55_ADGRE5,CD55,ADGRE5,Mesangial_cells,B cell,False,NA,NA,0.1694915254237288,True,4.21690878715005,0.00312233850766636,1
258,FCER2_aXb2 complex,FCER2,"['ITGB2', 'ITGAX']",B cell,MNP,False,NA,NA,0.2432432432432433,True,"[10.1285183950506, 5.41908546718856]","[7.82221790238649e-13, 9.085959486961573e-06]","[1, 1]"
860,TNFSF14_LTBR,TNFSF14,LTBR,NK cell,B cell,True,1.6880259119071002,0.0279420317848639,1,False,NA,NA,0.10810810810810813
97,FN1_a3b1 complex,FN1,"['ITGA3', 'ITGB1']",Distal_tubules_and_collecting_duct,Endothelium,True,5.7094563491760715,0.0181158810046262,1,False,NA,NA,"[0.11542443064182195, 0.6749482401656315]"
118,FN1_a4b1 complex,FN1,"['ITGB1', 'ITGA4']",Endothelium,CD8 T cell,True,5.7094563491760715,0.0181158810046262,1,False,NA,NA,"[0.41935483870967744, 0.3548387096774194]"
1014,PLXNC1_SEMA7A,PLXNC1,SEMA7A,MNP,DC,True,2.18273844545193,0.0063016608218016,1,False,NA,NA,0.4782608695652174
644,CCL5_CCR5,CCL5,CCR5,DC,CD8 T cell,True,2.9274540433678995,0.000339714595575179,1,False,NA,NA,0.21935483870967745
445,ICAM3_aLb2 complex,ICAM3,"['ITGB2', 'ITGAL']",Distal_tubules_and_collecting_duct,CD8 T cell,False,NA,NA,0.2702702702702703,True,"[10.1285183950506, 4.76710229557314]","[7.82221790238649e-13, 1.28565836060683e-08]","[1, 1]"
194,FN1_a5b1 complex,FN1,"['ITGA5', 'ITGB1']",Distal_tubules_and_collecting_duct,Endothelium,True,5.7094563491760715,0.0181158810046262,1,False,NA,NA,"[0.16563146997929604, 0.6749482401656315]"
647,CCL5_CCR5,CCL5,CCR5,Endothelium,CD8 T cell,True,2.9274540433678995,0.000339714595575179,1,False,NA,NA,0.21935483870967745
1468,LTBR_LTB,LTBR,LTB,Mesangial_cells,DC,False,NA,NA,0.1864406779661017,True,1.43943567105272,0.0402619482825343,1
1101,CD55_ADGRE5,CD55,ADGRE5,NK cell,B cell,False,NA,NA,0.4067796610169492,True,4.21690878715005,0.00312233850766636,1
1476,LTBR_LTB,LTBR,LTB,Mesangial_cells,Proximal_tubular_cells,False,NA,NA,0.1864406779661017,True,1.43943567105272,0.0402619482825343,1
1173,CD55_ADGRE5,CD55,ADGRE5,Th cell,Th cell,False,NA,NA,0.4091954022988506,True,4.21690878715005,0.00312233850766636,1
1466,LTBR_LTB,LTBR,LTB,Mesangial_cells,B cell,False,NA,NA,0.1864406779661017,True,1.43943567105272,0.0402619482825343,1
16,FN1_a11b1 complex,FN1,"['ITGB1', 'ITGA11']",Mesangial_cells,Mesangial_cells,True,5.7094563491760715,0.0181158810046262,1,False,NA,NA,"[0.7288135593220338, 0.1016949152542373]"
475,ICAM3_aLb2 complex,ICAM3,"['ITGB2', 'ITGAL']",NK cell,Private,False,NA,NA,0.4941329856584094,True,"[10.1285183950506, 4.76710229557314]","[7.82221790238649e-13, 1.28565836060683e-08]","[1, 1]"
1030,CD55_ADGRE5,CD55,ADGRE5,CD8 T cell,B cell,False,NA,NA,0.11612903225806452,True,4.21690878715005,0.00312233850766636,1
666,CCL5_CCR5,CCL5,CCR5,Proximal_tubular_cells,DC,True,2.9274540433678995,0.000339714595575179,1,False,NA,NA,0.17391304347826084
1493,LTBR_LTB,LTBR,LTB,Proximal_tubular_cells,Distal_tubules_and_collecting_duct,False,NA,NA,0.2380952380952381,True,1.43943567105272,0.0402619482825343,1
664,CCL5_CCR5,CCL5,CCR5,Private,DC,True,2.9274540433678995,0.000339714595575179,1,False,NA,NA,0.17391304347826084
9,COL18A1_a10b1 complex,COL18A1,"['ITGA10', 'ITGB1']",Endothelium,Mesangial_cells,True,2.6145127218695,0.0454013803960654,1,False,NA,NA,"[0.1694915254237288, 0.7288135593220338]"
42,COL6A2_a1b1 complex,COL6A2,"['ITGA1', 'ITGB1']",Mesangial_cells,Mesangial_cells,True,4.61594485015236,0.00245883333636735,1,False,NA,NA,"[0.3898305084745763, 0.7288135593220338]"
531,F11R_aLb2 complex,F11R,"['ITGB2', 'ITGAL']",Distal_tubules_and_collecting_duct,CD8 T cell,False,NA,NA,0.3963963963963964,True,"[10.1285183950506, 4.76710229557314]","[7.82221790238649e-13, 1.28565836060683e-08]","[1, 1]"
1024,CD55_ADGRE5,CD55,ADGRE5,B cell,Mast cell,False,NA,NA,0.5540540540540541,True,4.21690878715005,0.00312233850766636,1
1406,CD52_SIGLEC10,CD52,SIGLEC10,Private,MNP,False,NA,NA,0.8465346534653465,True,2.5481361733241497,0.000781093057158028,1
348,ICAM2_aLb2 complex,ICAM2,"['ITGB2', 'ITGAL']",DC,CD8 T cell,False,NA,NA,0.17391304347826084,True,"[10.1285183950506, 4.76710229557314]","[7.82221790238649e-13, 1.28565836060683e-08]","[1, 1]"
370,ICAM2_aLb2 complex,ICAM2,"['ITGB2', 'ITGAL']",MNP,NK cell,False,NA,NA,0.3923076923076923,True,"[10.1285183950506, 4.76710229557314]","[7.82221790238649e-13, 1.28565836060683e-08]","[1, 1]"
1168,CD55_ADGRE5,CD55,ADGRE5,Mast cell,Mast cell,False,NA,NA,0.3461538461538461,True,4.21690878715005,0.00312233850766636,1
1315,SELL_SELPLG,SELL,SELPLG,MNP,NK cell,False,NA,NA,0.3989010989010989,True,1.65236939315672,0.0310098101938767,1
228,THY1_aXb2 complex,THY1,"['ITGB2', 'ITGAX']",B cell,MNP,False,NA,NA,0.2432432432432433,True,"[10.1285183950506, 5.41908546718856]","[7.82221790238649e-13, 9.085959486961573e-06]","[1, 1]"
1019,CSF1R_CSF1,CSF1R,CSF1,MNP,Mesangial_cells,True,2.2629902320248703,0.00140684730550683,1,False,NA,NA,0.11864406779661014
23,COL18A1_a11b1 complex,COL18A1,"['ITGB1', 'ITGA11']",Endothelium,Mesangial_cells,True,2.6145127218695,0.0454013803960654,1,False,NA,NA,"[0.7288135593220338, 0.1016949152542373]"
1063,CD55_ADGRE5,CD55,ADGRE5,Endothelium,Distal_tubules_and_collecting_duct,False,NA,NA,0.12318840579710146,True,4.21690878715005,0.00312233850766636,1
1481,LTBR_LTB,LTBR,LTB,Podocytes,Distal_tubules_and_collecting_duct,False,NA,NA,0.15444015444015444,True,1.43943567105272,0.0402619482825343,1
451,ICAM3_aLb2 complex,ICAM3,"['ITGB2', 'ITGAL']",Loop_of_Henle,B cell,False,NA,NA,0.10747663551401868,True,"[10.1285183950506, 4.76710229557314]","[7.82221790238649e-13, 1.28565836060683e-08]","[1, 1]"
806,TNFRSF10B_TNFSF10,TNFRSF10B,TNFSF10,Distal_tubules_and_collecting_duct,DC,True,2.2879426863802403,0.0497834188612391,1,False,NA,NA,0.17391304347826084
45,COL18A1_a1b1 complex,COL18A1,"['ITGA1', 'ITGB1']",B cell,Endothelium,True,2.6145127218695,0.0454013803960654,1,False,NA,NA,"[0.3633540372670808, 0.6749482401656315]"
1031,CD55_ADGRE5,CD55,ADGRE5,CD8 T cell,DC,False,NA,NA,0.11612903225806452,True,4.21690878715005,0.00312233850766636,1
12,COL18A1_a10b1 complex,COL18A1,"['ITGA10', 'ITGB1']",Proximal_tubular_cells,Mesangial_cells,True,2.6145127218695,0.0454013803960654,1,False,NA,NA,"[0.1694915254237288, 0.7288135593220338]"
1,FN1_a10b1 complex,FN1,"['ITGA10', 'ITGB1']",Endothelium,Mesangial_cells,True,5.7094563491760715,0.0181158810046262,1,False,NA,NA,"[0.1694915254237288, 0.7288135593220338]"
518,ICAM3_aLb2 complex,ICAM3,"['ITGB2', 'ITGAL']",MNP,MNP,False,NA,NA,0.476923076923077,True,"[10.1285183950506, 4.76710229557314]","[7.82221790238649e-13, 1.28565836060683e-08]","[1, 1]"
1367,SELP_CD24,SELP,CD24,Endothelium,Loop_of_Henle,False,NA,NA,0.13561076604554864,True,2.6453950949991603,0.0343053443888204,1
811,TNFRSF10B_TNFSF10,TNFRSF10B,TNFSF10,Distal_tubules_and_collecting_duct,Mesangial_cells,True,2.2879426863802403,0.0497834188612391,1,False,NA,NA,0.1271186440677966
48,COL18A1_a1b1 complex,COL18A1,"['ITGA1', 'ITGB1']",DC,CD8 T cell,True,2.6145127218695,0.0454013803960654,1,False,NA,NA,"[0.4645161290322581, 0.41935483870967744]"
1094,CD55_ADGRE5,CD55,ADGRE5,Mesangial_cells,Distal_tubules_and_collecting_duct,False,NA,NA,0.1694915254237288,True,4.21690878715005,0.00312233850766636,1
1176,PTPRC_CD22,PTPRC,CD22,CD8 T cell,Mast cell,True,4.410688292133,4.76772725790391e-05,1,False,NA,NA,0.1153846153846154
250,THY1_aXb2 complex,THY1,"['ITGB2', 'ITGAX']",Private,MNP,False,NA,NA,0.26534653465346536,True,"[10.1285183950506, 5.41908546718856]","[7.82221790238649e-13, 9.085959486961573e-06]","[1, 1]"
1434,LTBR_LTB,LTBR,LTB,Distal_tubules_and_collecting_duct,DC,False,NA,NA,0.29504504504504503,True,1.43943567105272,0.0402619482825343,1
1353,SELL_SELPLG,SELL,SELPLG,NKT cell,NKT cell,False,NA,NA,0.12311557788944726,True,1.65236939315672,0.0310098101938767,1
1040,CD55_ADGRE5,CD55,ADGRE5,DC,B cell,False,NA,NA,0.6521739130434783,True,4.21690878715005,0.00312233850766636,1
1194,PTPRC_CD22,PTPRC,CD22,B cell,B cell,True,4.410688292133,4.76772725790391e-05,1,False,NA,NA,0.32432432432432434
1441,LTBR_LTB,LTBR,LTB,Distal_tubules_and_collecting_duct,Proximal_tubular_cells,False,NA,NA,0.29504504504504503,True,1.43943567105272,0.0402619482825343,1
874,TNFSF14_LTBR,TNFSF14,LTBR,Private,Podocytes,True,1.6880259119071002,0.0279420317848639,1,False,NA,NA,0.15444015444015444
656,CCL5_CCR5,CCL5,CCR5,Mesangial_cells,DC,True,2.9274540433678995,0.000339714595575179,1,False,NA,NA,0.17391304347826084
1256,HLA-E_KLRK1,HLA-E,KLRK1,Loop_of_Henle,CD8 T cell,False,NA,NA,0.27236315086782376,True,1.6996193448401398,0.0373947054533458,1
219,FN1_aVb5 complex,FN1,"['ITGAV', 'ITGB5']",Mesangial_cells,Distal_tubules_and_collecting_duct,True,5.7094563491760715,0.0181158810046262,1,False,NA,NA,"[0.463963963963964, 0.13963963963963966]"
865,TNFSF14_LTBR,TNFSF14,LTBR,NK cell,Mesangial_cells,True,1.6880259119071002,0.0279420317848639,1,False,NA,NA,0.1864406779661017
146,PLAUR_a4b1 complex,PLAUR,"['ITGB1', 'ITGA4']",Distal_tubules_and_collecting_duct,Private,True,1.83700465330314,0.0297683934149902,1,False,NA,NA,"[0.4613861386138614, 0.24554455445544554]"
1440,LTBR_LTB,LTBR,LTB,Distal_tubules_and_collecting_duct,Private,False,NA,NA,0.29504504504504503,True,1.43943567105272,0.0402619482825343,1
921,TNFSF10_TNFRSF10D,TNFSF10,TNFRSF10D,Distal_tubules_and_collecting_duct,Endothelium,False,NA,NA,0.3896396396396397,True,1.89074978806498,0.0173560788208196,1
1079,CD55_ADGRE5,CD55,ADGRE5,MNP,Private,False,NA,NA,0.7824175824175824,True,4.21690878715005,0.00312233850766636,1
178,FN1_a4b7 complex,FN1,"['ITGB7', 'ITGA4']",Distal_tubules_and_collecting_duct,Private,True,5.7094563491760715,0.0181158810046262,1,False,NA,NA,"[0.2386138613861386, 0.24554455445544554]"
1036,CD55_ADGRE5,CD55,ADGRE5,CD8 T cell,NK cell,False,NA,NA,0.11612903225806452,True,4.21690878715005,0.00312233850766636,1
195,FN1_a5b1 complex,FN1,"['ITGA5', 'ITGB1']",Mesangial_cells,Endothelium,True,5.7094563491760715,0.0181158810046262,1,False,NA,NA,"[0.16563146997929604, 0.6749482401656315]"
292,ICAM1_ITGAL,ICAM1,ITGAL,Endothelium,B cell,False,NA,NA,0.15993788819875776,True,4.76710229557314,1.28565836060683e-08,1
710,TNF_TNFRSF1B,TNF,TNFRSF1B,Mast cell,NK cell,False,NA,NA,0.1153846153846154,True,6.01061393679651,1.97712117390567e-06,1
618,HLA-G_LILRB2,HLA-G,LILRB2,MNP,B cell,False,NA,NA,0.2274725274725275,True,9.652284919570539,2.2163431871823598e-10,1
244,THY1_aXb2 complex,THY1,"['ITGB2', 'ITGAX']",Mesangial_cells,MNP,False,NA,NA,0.2288135593220339,True,"[10.1285183950506, 5.41908546718856]","[7.82221790238649e-13, 9.085959486961573e-06]","[1, 1]"
211,FN1_aVb1 complex,FN1,"['ITGAV', 'ITGB1']",Mesangial_cells,Distal_tubules_and_collecting_duct,True,5.7094563491760715,0.0181158810046262,1,False,NA,NA,"[0.463963963963964, 0.759009009009009]"
960,CXCL12_CXCR4,CXCL12,CXCR4,Mesangial_cells,Distal_tubules_and_collecting_duct,True,7.7426278931753885,1.18324783246116e-07,1,False,NA,NA,0.3851351351351352
78,COL18A1_a1b1 complex,COL18A1,"['ITGA1', 'ITGB1']",Proximal_tubular_cells,Mesangial_cells,True,2.6145127218695,0.0454013803960654,1,False,NA,NA,"[0.3898305084745763, 0.7288135593220338]"
1272,HLA-E_KLRK1,HLA-E,KLRK1,Nephron_epithelium,CD8 T cell,False,NA,NA,0.2849331713244229,True,1.6996193448401398,0.0373947054533458,1
1512,LAIR1_LILRB4,LAIR1,LILRB4,Mast cell,DC,True,3.7702558889103504,4.07767586446817e-05,1,True,4.85937078071363,6.360364419824e-07,1
610,HLA-G_LILRB2,HLA-G,LILRB2,CD8 T cell,B cell,False,NA,NA,0.5290322580645161,True,9.652284919570539,2.2163431871823598e-10,1
1056,CD55_ADGRE5,CD55,ADGRE5,Distal_tubules_and_collecting_duct,NK cell,False,NA,NA,0.48198198198198205,True,4.21690878715005,0.00312233850766636,1
26,COL18A1_a11b1 complex,COL18A1,"['ITGB1', 'ITGA11']",Proximal_tubular_cells,Mesangial_cells,True,2.6145127218695,0.0454013803960654,1,False,NA,NA,"[0.7288135593220338, 0.1016949152542373]"
1216,HLA-E_KLRC2,HLA-E,KLRC2,Endothelium,NK cell,False,NA,NA,0.9228778467908902,True,3.55694751490934,0.0007746719235593231,1
1428,LTBR_LTB,LTBR,LTB,DC,Neutrophil,False,NA,NA,0.13043478260869565,True,1.43943567105272,0.0402619482825343,1
