,interaction,partner_A_genes,partner_B_genes,celltype_A,celltype_B,is_partner_A_DE,logFC_gene_A,adj_pval_gene_A,percent_expr_gene_A,is_partner_B_DE,logFC_gene_B,adj_pval_gene_B,percent_expr_gene_B
388,ICAM2_aLb2 complex,ICAM2,"['ITGB2', 'ITGAL']",NK cell,B cell,False,NA,NA,0.3754889178617992,True,"[10.1285183950506, 4.76710229557314]","[7.82221790238649e-13, 1.28565836060683e-08]","[1, 1]"
120,FN1_a4b1 complex,FN1,"['ITGB1', 'ITGA4']",Endothelium,MNP,True,5.7094563491760715,0.0181158810046262,1,False,NA,NA,"[0.5747252747252747, 0.3263736263736264]"
942,CXCL12_CXCR4,CXCL12,CXCR4,Loop_of_Henle,CD8 T cell,True,7.7426278931753885,1.18324783246116e-07,1,False,NA,NA,0.9548387096774194
894,TNFSF14_TNFRSF14,TNFSF14,TNFRSF14,NK cell,MNP,True,1.6880259119071002,0.0279420317848639,1,False,NA,NA,0.42197802197802203
812,TNFRSF10B_TNFSF10,TNFRSF10B,TNFSF10,Distal_tubules_and_collecting_duct,NK cell,True,2.2879426863802403,0.0497834188612391,1,False,NA,NA,0.2059973924380704
634,HLA-G_LILRB2,HLA-G,LILRB2,Private,MNP,False,NA,NA,0.32673267326732675,True,9.652284919570539,2.2163431871823598e-10,1
925,TNFSF10_TNFRSF10D,TNFSF10,TNFRSF10D,Mesangial_cells,Endothelium,False,NA,NA,0.1271186440677966,True,1.89074978806498,0.0173560788208196,1
257,THY1_aXb2 complex,THY1,"['ITGB2', 'ITGAX']",Mast cell,Mast cell,False,NA,NA,0.2307692307692308,True,"[10.1285183950506, 5.41908546718856]","[7.82221790238649e-13, 9.085959486961573e-06]","[1, 1]"
944,CXCL12_CXCR4,CXCL12,CXCR4,Loop_of_Henle,Distal_tubules_and_collecting_duct,True,7.7426278931753885,1.18324783246116e-07,1,False,NA,NA,0.3851351351351352
766,NKG2D II receptor_MICA,"['HCST', 'KLRK1']",MICA,NK cell,Distal_tubules_and_collecting_duct,True,"[2.20438656911878, 1.6996193448401398]","[0.00430246688582166, 0.0373947054533458]","[1, 1]",False,NA,NA,0.2612612612612613
1025,CD55_ADGRE5,CD55,ADGRE5,B cell,Mesangial_cells,False,NA,NA,0.5540540540540541,True,4.21690878715005,0.00312233850766636,1
1319,SELL_SELPLG,SELL,SELPLG,NK cell,CD8 T cell,False,NA,NA,0.16688396349413298,True,1.65236939315672,0.0310098101938767,1
831,TNFRSF10B_TNFSF10,TNFRSF10B,TNFSF10,MNP,Private,True,2.2879426863802403,0.0497834188612391,1,False,NA,NA,0.405940594059406
1400,CD52_SIGLEC10,CD52,SIGLEC10,Mast cell,MNP,False,NA,NA,0.6153846153846154,True,2.5481361733241497,0.000781093057158028,1
1437,LTBR_LTB,LTBR,LTB,Distal_tubules_and_collecting_duct,NK cell,False,NA,NA,0.29504504504504503,True,1.43943567105272,0.0402619482825343,1
824,TNFRSF10B_TNFSF10,TNFRSF10B,TNFSF10,MNP,Loop_of_Henle,True,2.2879426863802403,0.0497834188612391,1,False,NA,NA,0.20226969292389851
1217,HLA-E_KLRC2,HLA-E,KLRC2,Loop_of_Henle,CD8 T cell,False,NA,NA,0.27236315086782376,True,3.55694751490934,0.0007746719235593231,1
74,COL18A1_a1b1 complex,COL18A1,"['ITGA1', 'ITGB1']",Podocytes,Proximal_tubular_cells,True,2.6145127218695,0.0454013803960654,1,False,NA,NA,"[0.11180124223602483, 0.2712215320910973]"
454,ICAM3_aLb2 complex,ICAM3,"['ITGB2', 'ITGAL']",Loop_of_Henle,NK cell,False,NA,NA,0.10747663551401868,True,"[10.1285183950506, 4.76710229557314]","[7.82221790238649e-13, 1.28565836060683e-08]","[1, 1]"
724,TNF_TNFRSF1B,TNF,TNFRSF1B,Private,MNP,False,NA,NA,0.18811881188118806,True,6.01061393679651,1.97712117390567e-06,1
17,COL5A2_a11b1 complex,COL5A2,"['ITGB1', 'ITGA11']",Mesangial_cells,Mesangial_cells,True,3.80515143068838,0.00014071735352043501,1,False,NA,NA,"[0.7288135593220338, 0.1016949152542373]"
471,ICAM3_aLb2 complex,ICAM3,"['ITGB2', 'ITGAL']",NK cell,B cell,False,NA,NA,0.4941329856584094,True,"[10.1285183950506, 4.76710229557314]","[7.82221790238649e-13, 1.28565836060683e-08]","[1, 1]"
376,ICAM2_aLb2 complex,ICAM2,"['ITGB2', 'ITGAL']",Mast cell,MNP,False,NA,NA,0.15384615384615385,True,"[10.1285183950506, 4.76710229557314]","[7.82221790238649e-13, 1.28565836060683e-08]","[1, 1]"
272,ICAM1_aXb2 complex,ICAM1,"['ITGB2', 'ITGAX']",Mast cell,Mast cell,False,NA,NA,0.1153846153846154,True,"[10.1285183950506, 5.41908546718856]","[7.82221790238649e-13, 9.085959486961573e-06]","[1, 1]"
54,COL18A1_a1b1 complex,COL18A1,"['ITGA1', 'ITGB1']",Distal_tubules_and_collecting_duct,Endothelium,True,2.6145127218695,0.0454013803960654,1,False,NA,NA,"[0.3633540372670808, 0.6749482401656315]"
486,ICAM3_aLb2 complex,ICAM3,"['ITGB2', 'ITGAL']",Neutrophil,NK cell,False,NA,NA,0.17391304347826084,True,"[10.1285183950506, 4.76710229557314]","[7.82221790238649e-13, 1.28565836060683e-08]","[1, 1]"
522,ICAM3_aLb2 complex,ICAM3,"['ITGB2', 'ITGAL']",Th cell,Th cell,False,NA,NA,0.4827586206896552,True,"[10.1285183950506, 4.76710229557314]","[7.82221790238649e-13, 1.28565836060683e-08]","[1, 1]"
968,CXCL12_CXCR4,CXCL12,CXCR4,Mesangial_cells,Neutrophil,True,7.7426278931753885,1.18324783246116e-07,1,False,NA,NA,0.2608695652173913
